citation,year,research_question,location,time_period,data_source,sample,sample_size,method,identification,explanatory,explanatory_measure,outcome_measure,controls,key_results,limitations,theme,field,related_articles,comments
"Simeonova, Emilia, Janet Currie, Peter Nilsson, and Reed Walker. 2018. “Congestion Pricing, Air Pollution and Children’s Health.” Working Paper 24410. National Bureau of Economic Research. https://doi.org/10.3386/w24410.",2018,Testing the influence that instituting a congestion pricing zone (CPZ) in Stockholm's city center had on reducing air pollution and decreasing hospital visits by children for asthma.,"Stockholm and 102 other central cities, Sweden",2004-2010,"Data: Asthma-related inpatient and outpatient visits for children under age 6 in major Swedish cities. Data included: child's location, date of admission, number of days in hospital care, diagnoses.",,,Asthma rate is calculated for Stockholm (before and after the CPZ) and other cities without the CPZ. Asthma rates compared to corresponding municipality PM10 and NO2 levels to identify the impact that CPZ had on asthma for Stockholm's children.,Natural experiment,PM10; NO2,"Daily average (?) levels of PM10 and NO2 for each city, aggregated to the monthly level.; Note: Paper was not clear when explaining the frequency of measurement taken to calculate a daily level (i.e. daily maximum, average of hourly readings, etc.)",Asthma-related hospital stays and visits,"Weather (rain, temperature, wind), average income, fraction of individuals on social assistance, the fraction of mothers with completed college education in the municipality.","1) Permanent implementation of CPZ led to a 3.36 μg/m3 decline in PM10 and a 1.58 μg/m3 decline in NO2 (10% and a 5% reduction from mean levels of pre-CPZ pollution, respectively). 2) Permanent implementation of CPZ reduced child asthma hospital visits from 18.7 per 10,000 to 10/10,000 (nearly 50%) 3) Congestion tax reduced ambient NO2 and PM10 levels by reducing traffic in the center of the city. It is likely that other automobile combustion generated pollutants also decline from CPZ. 4) Decreased pollution levels have short-term health benefits (as evidenced by an earlier trial period of the CPZ), but the long-term benefits are even greater as it can take people's bodies longer to adjust to the new equilibrium levels. 5) There can be health benefits gained by reducing pollution levels below already relatively low levels of air pollution.","1) The paper was clear when explaining the frequency of measurement taken to calculate a daily level (i.e. daily maximum, average of hourly readings, etc.) 2) Study did not include children in Stockholm who lives outside of the CPZ. It is possible that the CPZ caused altered traffic patterns, thus distributing traffic and the corresponding pollution elsewhere in the city (p. 8).",Impact on child/infant health,Public health; economics,Currie et al. (2014); Neidell (2004); Yu et al. (2000); Moretti and Neidell (2011);,"1) Authors note that central Stockholm's pollution levels were below the EPA's standards before the congestion pricing was in initiated. Thus, their results demonstrate that there are health benefits for reducing pollution levels below already relatively low levels of air pollution. 2) Authors focus on children under age 6 years old because they have been shown to be most susceptible to acute asthma episodes. 3) This methodology may be relevant to developing country experiments, but the pollution levels were below EPA standards from the start, and therefore the takeaways are likely less connected to highly polluted urban areas in developing countries. / One of the few natural experiments on the topic of air pollution."
"Suglia, S. Franco, A. Gryparis, R. O. Wright, J. Schwartz, and R. J. Wright. 2008. “Association of Black Carbon with Cognition among Children in a Prospective Birth Cohort Study.” American Journal of Epidemiology 167 (3): 280–86. https://doi.org/10.1093/aje/kwm308.",2008,What impact does black carbon from traffic sources (a component of PM) have on adolescent cognition?,Boston,Children born 1986-2001,,"Data: children, ages 8-11: race/ethnicity and socioeconomic position, maternal educational level, baseline, and clinic follow-up visit details.; The study also tested each child for cognitive ability through a series of cognitive tests and for peak lead level in blood before age 6.",n=202,"Compare children's scores on the cognitive tests with their estimated levels of black carbon exposure to determine any association, all else constant.",Panel,black carbon,24-hour measures of traffic pollution (black carbon) exposure using data from more than 80 locations in the Greater Boston area.; A cumulative traffic density measure was recorded once per location.,Cognitive test scores from Kaufman Brief Intelligence Test (K-BIT) and the Wide Range Assessment of Memory and Learning (WRAML). IQ testing was a part of K-BIT test.,"Meteorologic conditions, day of the week, cumulative traffic density within 100m, population density, distance to the nearest major roadway, percentage of urbanization.","1) An interquartile-range (0.4 μg/m3) increase in log black carbon correlated with a 3-point decrease in IQ. For comparison, 10-μg/dl increase in blood lead level has been associated with a loss of 1–5 IQ points. 2) For the K-BIT test: An interquartile-range (0.4 μg/m3) increase in log black carbon predicted: a 2-point decrease on the vocabulary scale, a 4.2-point decrease on the matrices scale, and a 3.4-point decrease on the composite subscale. 3)  For the WRAML test: Black carbon level predicted a 1.1-point decrease on the verbal learning scale, a 5.2-point decrease on the visual learning scale, a 2.7-point decrease on the learning scale, and a 3.7-point decrease on the general index scale. 4) The authors' results are consistent in that they show decreases across all testing subscales, though not all associations between black carbon and cognitive subscales were statistically significant.","Study utilizes black carbon exposure estimates only near the children's homes, not their schools or other places, potentially influencing their true levels of exposure up or down. However, the authors don't believe this to likely be an important factor because children spend a significant amount of time at home or nearby (including local schools).; Though the sample size, n=202, was large enough to evaluate, it is not large enough, nor geographically diverse enough, to be representative of the national population.",Impact on child cognition,Public health; economics; science,Calderón-Garcidueñas et al. (2008),"This study discusses the impact of extended exposure to black carbon. / Paper focuses on long-term pollution exposure cognitive impacts, not immediate repercussions."
"Zhang, Ying, and Zhengqiang Li. 2015. “Remote Sensing of Atmospheric Fine Particulate Matter (PM2.5) Mass Concentration near the Ground from Satellite Observation.” Remote Sensing of Environment 160 (April): 252–62. https://doi.org/10.1016/j.rse.2015.02.005.",2015,Satellite air quality monitoring has a high potential for future large-scale monitoring. The authors develop and test a multi-parameter formula to accurately measure PM2.5 concentration remotely.,Northern China,Oct.-Dec. 2013,,,,The formulas and PM2.5 remote sensing method were validated by comparing satellite data with 15 corresponding validation sensor sites in a polluted region of Northern China.,?,PM2.5,"Ground sensors: Hourly averaged PM2.5 levels.; Satellite data: Unable to identify their frequency of measurement. One line called it ""instantaneous"" (p.260).",,"Planetary boundary layer height (it can influence weather), weather, and relative humidity.","The authors find that their formulas can be used to measure ground-level PM2.5 to an ""uncertainty of 34%"", (p. 256).; There is much room for improvement as some of their indicators used to translate satellite monitoring data into PM2.5 measurements do not exactly correspond to PM2.5 levels, especially over land (ex. Fine mode fraction (FMF) method. see p. 257)",Article was primarily technical and lacked an overt explanation of how to apply their measurement techniques to real world public health issues.,Satellite monitoring,Public health; science,Paciorek and Liu (2009); Gupta and Christopher (2008),This was a highly technical paper detailing the process of converting satellite observations into usable PM measurements. Acronyms are used frequently in this paper.; This paper is most useful to: a) provide evidence of the accuracy of satellite PM2.5 monitoring; b) utilize the methods discussed to cross-examine ground air sensor and satellite data for accuracy
"Zhang, Xin, Xi Chen, and Xiaobo Zhang. 2018. “The Impact of Exposure to Air Pollution on Cognitive Performance.” Proceedings of the National Academy of Sciences, August, 201809474. https://doi.org/10.1073/pnas.1809474115.",2018,How does both cumulative and transitory air pollution impact cognitive decline? What is the economic impact?,"China, Major cities",2010 and 2014,"Individual data: Observations from the China Family Panel Study (CFPS) from 2010 and 2014.; CFPS study on families and individuals, included: location, their economic activities, education outcomes, family dynamics and relationships, health,; and cognitive abilities.",,"31,959 total observations were included.","Match individual test scores in the survey with local air-quality data on the testing date. Control for other variables too like gender, education level, age.",Panel,PM10; NO2; SO2,"Daily readings of SO2, NO2, and PM10 taken and calculated to generate an air pollution index (API) number. API daily readings located within 40 km of the county of each individual included were matched.",Cognitive test score from survey. Survey contained 24 standardized math and 34 word-recognition questions.,"Weather, gender, education, economics status, locale, regional and national economic conditions at the time of the study.","Air pollution's influence on cognitive abilities: 1) Longer exposure period was associated with a larger decrease in cognitive abilities. 2) Has a more prominently negative effect on verbal test abilities than math. 3) More drastically impacts men than women. Why? Authors hypothesize that differences in brain composition may explain this phenomenon. Air pollution can reduce the density of white matter in the brain. Men have a much smaller amount of white matter activated during intelligence tests, thus their cognitive performance, especially in the verbal tests (which use mostly white matter), tends to be more affected by exposure to air pollution. 4) Is highly negative for men over age 44 with primary school education or below. For those with higher education, only men aged 65+ are negatively impacted. Women of this age do not exhibit the same pattern, regardless of their education.","A majority of cognitive interviews were conducted in July and August, when there is less pollution in Northern China. The authors compensated for this by giving extra weight to their data from other months of the year and indicated that they believe their results were therefore accurate.; The different pollutants (PM10, NO2, SO2) were not isolated and therefore it is not possible to precisely determine which pollutant(s) are causing the observed impacts.",Impact on adult cognition,Public health; economics,Ebenstein et al. (2016),"Unique part of this study: The CFPS survey includes cognitive test information for individuals age 10 and up. As such the impact of pollution can be measured across age groups.; Overall, this appears to be a very thorough study. Authors controlled for many potential confounders and evaluated the impact of multiple variables. Their falsification test, which tested their findings by using pollution data from after the tests were administered (which in theory should not have shown an effect on the cognitive outcome) showed that their findings were sound."
"Zivin, Joshua Graff, and Matthew Neidell. 2012. “The Impact of Pollution on Worker Productivity.” American Economic Review 102 (7): 3652–73. https://doi.org/10.1257/aer.102.7.3652.",2012,How does ozone exposure affect the productivity of outdoor farm workers?,California,2009-2010,"Population data: Work productivity data from 1600 farm laborers in California, collected over 155 intermittent days of labor.; Data includes: worker gender, quantity of pieces harvested, start and stop time of work, and other information regarding their type of harvesting contract.",,1600 farm laborers,Date-specific individual worker productivity data is linked with corresponding ozone pollution level data and evaluated to identify any association.,Panel,O3,"Data: From air quality and weather monitors tracking hourly levels of ozone, other pollutants, and weather.; Several monitors were located near the farm. 3 monitors that measure ozone and weather were located within 20 miles.",Worker Productivity,"Gender, time worked at the farm, temperature, solar radiation, air pressure, wind speed, dew point, precipitation, PM2.5, day of week dummies, month×year dummies, contract type dummies.","1) A 10 ppb decrease in ozone increases worker productivity by 5.5%. 2) Impacts of ozone exposure on productivity are relatively linear and steadily increase over the entire range of ozone exposure. 3) Productivity impacts become statistically significant at 42-46 ppb. Current standards for ozone levels are much higher, at 75 ppb. Proposed ozone level reforms set 60 ppb as a new standard. 4) Ozone's primary impact is same-day, with overnight rest adequate to restore full lung functioning the following day. 5) The authors estimate that a 10 ppb reduction in ozone across the country would lead to an annual savings of $700 million in labor. 6) Ozone reduction in the developing world would likely have a proportionally higher impact due to the higher percentage of manual laborers.","1) Findings are based on data from employment records, which themselves depend on worker contracts designed to incentivize workers to increase productivity. However, in California, workers still earn at least the minimum wage, even if they do not reach an hourly minimum level of productivity. The authors do not believe that ""shirking"" of labor when productivity is close to minimum levels, is a common phenomenon, due to the threat of dismissal if caught shirking. However, if the contracts were not properly designed then shirking could be a larger influence than expected. This would cause the influence of ozone to be overestimated. 2) Ozone can have a cumulative effect over multiple days of exposure. Despite this, when excluding potentially confounding data from multiple days of exposure prior to working, authors found that ozone's primary impact is same-day. Overnight rest restored restore full lung functioning the following day.",Impact on productivity,Public health; economics,Chay and Greenstone (2005); Neidell (2009),"- / This is one of only a few papers examining the impact of pollution on worker productivity, at levels not requiring medical care."
"Zivin, Joshua Graff, and Matthew Neidell. 2018. “Air Pollution’s Hidden Impacts.” Science, January 5, 2018.",2018,"This is an article surveying the recent advances in research regarding the impacts of air pollution on cognitive ability, worker productivity, and the economy.",United States,,,,,,,,,,,"1) Air pollution (AP) is impacting health in unseen ways because many of the impacts are more subtle and do not require medical attention. 2) AP decreases worker productivity, both physical labor and in office jobs. It decreases cognitive ability. 3) Children exposed to AP in early life can suffer lifelong negative cognitive impacts.",,Impact on adult cognition,Public health; economics,Zivin and Neidell (2012),"Our understanding of AP's impacts on health and the economy are limited because:; a) It affects areas that traditionally have been the domain of different government agencies (i.e. Environment - EPA, worker safety - OSHA); b) Monitoring for data is lacking; Next-step actions recommended by Authors: 1) Gather data: Improve/Implement productivity monitoring in the workplace. This data can be used to evaluate the subtler impacts of AP on the economy. This data must be made public for all to view and test. 2) Agency collaboration: In order to properly monitor and evaluate AP impacts, government agencies must collaborate (for example: the EPA, OSHA, Dept. of Labor, Dept. of Health & Human Services). 3) Health care providers/public health officials must disseminate information about the risks of early life AP exposure. / Magazine article. It is a summary of current knowledge of air pollution and the need to integrate government agencies as pollution knows no boundaries."
"Clifford, Angela, Linda Lang, Ruoling Chen, Kaarin J. Anstey, and Anthony Seaton. 2016. “Exposure to Air Pollution and Cognitive Functioning across the Life Course – A Systematic Literature Review.” Environmental Research 147 (May): 383–98. https://doi.org/10.1016/j.envres.2016.01.018.",2016,,,,,,,,,,,,,,,,,,
"Desouza, Priyanka, Victor Nthusi, Jacqueline Klopp, Bruce E. Shaw, Wah On Ho, John Safell, Roderic Jones, and Carlo Ratti. 2017. “A Nairobi Experiment in Using Low Cost Air Quality Monitors.” Clean Air Journal 27: 12–31.",2017,,,,,,,,,,,,,,,,,,
"Heft-Neal, Sam, Jennifer Burney, Eran Bendavid, and Marshall Burke. 2018. “Robust Relationship between Air Quality and Infant Mortality in Africa.” Nature 559 (7713): 254–58. https://doi.org/10.1038/s41586-018-0263-3.",2018,,,,,,,,,,,,,,,,,,
"Lelieveld, J., J. S. Evans, M. Fnais, D. Giannadaki, and A. Pozzer. 2015. “The Contribution of Outdoor Air Pollution Sources to Premature Mortality on a Global Scale.” Nature 525 (7569): 367–71. https://doi.org/10.1038/nature15371.",2015,,,,,,,,,,,,,,,,,,
"Peters, Ruth, Jean Peters, Andrew Booth, and Ian Mudway. 2015. “Is Air Pollution Associated with Increased Risk of Cognitive Decline? A Systematic Review.” Age and Ageing 44 (5): 755–60. https://doi.org/10.1093/ageing/afv087.",2015,,,,,,,,,,,,,,,,,,
World Bank. 2016. “The Cost of Air Pollution: Strengthening the Economic Case for Action.” World Bank Group. http://documents.worldbank.org/curated/en/781521473177013155/ pdf/108141-REVISED-Cost-of-PollutionWebCORRECTEDfile.pdf.,2016,,,,,,,,,,,,,,,,,,
